cohort,rank,wallet,touched_vol_musd,maker_share,n_fills,n_unique_markets,fills_per_day,lp_rewards_usd,lp_rewards_observed,lp_rewards_confirmed_1k,complete_set_arber,large_ticket_whale,confidence
Retail,2,0x64a4fbb71858f681f3fa10a42b34180a9a48088d,2.81,1,6,2,6,275,True,False,False,True,Medium
Retail,3,0x374869e2d1f84d5a9f371aa19e96564f76dcef32,1.69,0,3,1,3,0,False,False,False,True,Medium
Retail,4,0x359415acb3dfd763a63f7016ca81955d830cd7a8,1.35,0,196,42,9,0,False,False,False,True,Low
Retail,5,0xefcd82cf05800e8a83c69c935360fe35cb70dd8b,1.15,0,8,1,8,0,False,False,False,True,Low
Retail,6,0xa56083d82469941c9e7ccab657b770ae9549d83e,1.12,0,31,13,6,0,False,False,False,True,Medium
Retail,7,0x9c22a085e45083583e7a44e1b62d081395e9c0bf,1.05,0,6,1,6,0,False,False,False,True,Medium
Retail,8,0x578fe4ffc5578e70cd08099a26bbb4bcc228b848,1.05,0,14,3,7,33,True,False,False,True,Medium
Retail,9,0x2464fc6f22bee20c79a64b774d1e0802587117eb,1,0,5,1,5,0,False,False,False,True,Medium
Retail,10,0xdc0c7f1720576cc1e1ffa11e28869a6dd95fb252,1,0,3,1,3,0,False,False,False,True,Medium
Retail,11,0x685439ceedbe0415fc26b6b3a14f7044de415adc,1,0,1,1,1,0,False,False,False,True,Medium
Retail,12,0x6eb475cc6e352ffe68602e22a44224a96dcd9e47,0.98,0,8,1,8,0,False,False,False,True,Low
Retail,13,0xdaddf50a892538066c7cf0cbb67aba5349a7e8be,0.96,0,8,1,8,0,False,False,False,True,Low
Retail,14,0xced176ee31bc830db5c31ed23f2c4d7b7f5f9a2d,0.7,0.998,2,1,2,0,False,False,False,True,Medium
Retail,15,0x502b01e5fb592333a365cb550afa31077584e0e4,0.65,0,2,1,2,0,False,False,False,True,Medium
Retail,16,0xa119ebfa4d4e745e4b4771cecb8f016b23aa0173,0.64,0,6,1,6,0,False,False,False,True,Medium
Retail,17,0xee838e367a18620f0fff6d0790cfda7632ca3373,0.5,0,4,2,4,0,False,False,False,True,Medium
Retail,18,0x0a204f27e294c8caee03c36b488dfaf6350dbc25,0.5,0,1,1,1,0,False,False,False,True,Medium
Retail,19,0xfdb0caa36893b8cb267c6f023f4523ef18ef100e,0.5,0,5,2,5,0,False,False,False,True,Medium
Retail,20,0x0ea96e490d950c96d4636c8911a3bccad4bc2827,0.5,0,6,1,6,0,False,False,False,True,Medium
